"","Project","Date","Outflow (kcfs)","Spill (kcfs)","Spill Percent (%)","Inflow (kcfs)","Temp (Scroll Case) (C)","Temperature (C)","Barometric Pressure (mmHg)","Dissolved Gas (mmHg)","Dissolved Gas Percent (%)","Turbidity (ft)","Elevation (ft)"
"1","BON",2000-01-01,166.31,0,0,178.6,5.93,5.93,758.96,760.33,100.18,NA,74.05
"2","BON",2000-01-02,192.66,0,0,182.6,5.86,5.86,763.44,759.59,99.47,NA,74.51
"3","BON",2000-01-03,205.81,0,0,218.9,5.78,5.78,767.92,760.38,98.87,6.4,73.96
"4","BON",2000-01-04,202.08,0,0,183.9,5.9,5.9,766.14,765.2,99.85,6.4,74.16
"5","BON",2000-01-05,190.89,0,0,191.2,5.75,5.75,774.37,769.94,99.42,6,73.35
"6","BON",2000-01-06,211.65,0,0,219.1,5.61,5.61,770.21,768.67,99.8,6,73.39
"7","BON",2000-01-07,187.85,0,0,194,5.51,5.51,768.63,765.33,99.57,NA,74.58
"8","BON",2000-01-08,199.78,0,0,189.1,5.48,5.48,764.46,764.25,99.97,6,74.05
"9","BON",2000-01-09,214.93,0,0,223,5.48,5.48,760.58,763.33,100.36,6,74.66
"10","BON",2000-01-10,227.82,0,0,229.4,5.35,5.35,756,760.71,100.62,5,74.75
"11","BON",2000-01-11,219.61,0,0,220.6,5.2,5.2,753.71,757.5,100.5,5,74.85
"12","BON",2000-01-12,213.32,0,0,198.6,5.07,5.07,760.83,756,99.37,5,74.18
"13","BON",2000-01-13,207.19,0,0,211,4.96,4.96,760.38,756.29,99.46,5,74.27
"14","BON",2000-01-14,202.78,0,0,213.7,4.97,4.97,760.88,756.63,99.44,5,74.16
"15","BON",2000-01-15,214.33,0,0,218.7,4.97,4.97,762.54,757.83,99.39,NA,74.1
"16","BON",2000-01-16,210.33,0,0,196.4,4.85,4.85,751.36,755,100.48,NA,74.35
"17","BON",2000-01-17,194.43,0,0,193.9,NA,NA,NA,NA,NA,NA,73.43
"18","BON",2000-01-18,199.49,0,0,206.8,4.82,4.82,765.76,758.41,99.04,NA,73.58
"19","BON",2000-01-19,205.73,0,0,198.6,4.74,4.74,766.88,757.48,98.77,7,74.08
"20","BON",2000-01-20,200.73,0,0,204.4,4.64,4.64,762.74,755.04,99.01,7,74.13
"21","BON",2000-01-21,194.5,0,0,197.2,4.58,4.58,762.58,754.25,98.91,7,74.04
"22","BON",2000-01-22,199.87,0,0,203.1,4.53,4.53,765.54,756.83,98.86,7,74.76
"23","BON",2000-01-23,177.93,0,0,164,4.41,4.41,764.17,759.54,99.4,6.5,74.05
"24","BON",2000-01-24,193.5,0,0,203.3,4.35,4.35,762.71,759.04,99.52,7,74.53
"25","BON",2000-01-25,205.47,0,0,206,4.34,4.34,763.17,758.17,99.35,7,74.53
"26","BON",2000-01-26,202.55,0,0,191.8,4.35,4.35,769.67,759.42,98.67,7,73.93
"27","BON",2000-01-27,215.53,0,0,219.7,4.32,4.32,773.5,761.25,98.42,7,74.07
"28","BON",2000-01-28,227.4,0,0,228.1,4.08,4.08,770.08,760.97,98.82,7,73.67
"29","BON",2000-01-29,232.68,0,0,235.1,3.8,3.8,767.75,760.5,99.06,7,73.62
"30","BON",2000-01-30,214.27,0,0,220.1,3.44,3.44,761.17,757.5,99.52,5.2,74
"31","BON",2000-01-31,209.49,0,0,189.1,3.44,3.44,763.88,755.75,98.94,5.2,73.52
"32","BON",2000-02-01,199.79,0,0,224.2,3.52,3.52,763.42,756.38,99.08,7,73.65
"33","BON",2000-02-02,222.21,0,0,221.8,3.7,3.7,770.04,762.71,99.05,6,74.9
"34","BON",2000-02-03,232.18,0,0,227,3.8,3.8,766.13,765.96,99.98,NA,74.37
"35","BON",2000-02-04,235.94,0,0,225.5,3.84,3.84,763.42,766.42,100.39,6.5,74.44
"36","BON",2000-02-05,191.62,0,0,207,3.82,3.82,763.46,769.54,100.8,6.5,73.73
"37","BON",2000-02-06,189.66,0,0,182.2,3.82,3.82,770.04,771.38,100.17,5.5,75.01
"38","BON",2000-02-07,190.78,0,0,195.8,3.94,3.94,768.17,773.67,100.72,NA,74.46
"39","BON",2000-02-08,201.35,0,0,194.6,4.01,4.01,763.29,773.33,101.32,7,73.91
"40","BON",2000-02-09,181.11,0,0,187.2,4.1,4.1,763.27,775.92,101.68,7,73.81
"41","BON",2000-02-10,192.04,0,0,187.1,4.09,4.09,759.63,777.71,102.38,7,74.7
"42","BON",2000-02-11,192.81,0,0,189.7,4.16,4.16,757.33,781.83,103.25,5,73.89
"43","BON",2000-02-12,231.72,0,0,240.1,4.27,4.27,754.04,782.79,103.81,7,74.83
"44","BON",2000-02-13,226.51,0,0,210.2,4.35,4.35,752.79,781.96,103.88,7,73.74
"45","BON",2000-02-14,194.72,0,0,198.9,4.29,4.29,749.92,778.75,103.85,NA,73.95
"46","BON",2000-02-15,195.55,0,0,205.7,4.31,4.31,765.71,790.63,103.26,NA,73.59
"47","BON",2000-02-16,221.85,0,0,208.2,4.35,4.35,765.04,799.58,104.52,6,73.55
"48","BON",2000-02-17,220.88,0,0,233,4.53,4.53,766.21,790.79,103.21,6,73.57
"49","BON",2000-02-18,216.13,0,0,214.6,4.62,4.62,769.39,785.08,102.05,6.6,75.19
"50","BON",2000-02-19,205.79,0,0,182.8,4.63,4.63,766.25,798.58,104.22,6.5,73.67
"51","BON",2000-02-20,151.06,0,0,160.1,4.51,4.51,757.88,776.88,102.51,5.5,73.14
"52","BON",2000-02-21,151.81,0,0,149.8,4.47,4.47,755.67,786.96,104.14,6,72.95
"53","BON",2000-02-22,156.97,0,0,171.6,4.53,4.53,754.83,786.75,104.23,5.8,73.48
"54","BON",2000-02-23,161.21,0,0,162,4.67,4.67,759.67,792.67,104.35,5.5,74.64
"55","BON",2000-02-24,187.82,0,0,197.3,4.81,4.81,761.63,779,102.28,4,74.93
"56","BON",2000-02-25,205.68,0,0,201.1,4.71,4.71,762.92,774.42,101.51,4,74
"57","BON",2000-02-26,196.86,0,0,198.5,4.6,4.6,757.67,771.04,101.77,3.6,74.8
"58","BON",2000-02-27,193.61,0,0,180.4,4.57,4.57,755.17,772.46,102.29,4,74.44
"59","BON",2000-02-28,176.84,0,0,180.7,4.74,4.74,759.33,778.17,102.48,4.4,74.13
"60","BON",2000-02-29,196.95,0,0,211.9,4.86,4.86,760.67,778.96,102.41,4.4,73.98
"61","BON",2000-03-01,198.9,0,0,196.3,4.94,4.94,765.83,779.46,101.78,4.2,75.16
"62","BON",2000-03-02,200.24,0,0,191.2,4.97,4.97,766.5,780.33,101.81,5,74.11
"63","BON",2000-03-03,200.44,0,0,208,5.06,5.06,765.29,781.25,102.09,5,73.88
"64","BON",2000-03-04,178.22,0,0,183.2,5.17,5.17,757.5,781.25,103.14,5,74.96
"65","BON",2000-03-05,164.08,0,0,158.4,5.24,5.24,756.25,776.96,102.74,5.5,75.19
"66","BON",2000-03-06,193.39,0,0,189.3,5.27,5.27,757.13,773.83,102.21,6,74.33
"67","BON",2000-03-07,210.79,0,0,214.7,5.32,5.32,758.42,773.38,101.97,5,74.8
"68","BON",2000-03-08,214.59,0,0,223.5,5.42,5.42,759.88,777.25,102.29,4.8,75.29
"69","BON",2000-03-09,206.93,12.37,5.98,199.6,5.55,5.55,763.46,778.58,101.98,5,75.18
"70","BON",2000-03-10,211.15,103.61,49.07,201.3,5.78,5.78,766.38,779.58,101.72,5.5,74.51
"71","BON",2000-03-11,210.04,113.31,53.95,222,5.89,5.89,771.67,779.54,101.02,5.7,73.81
"72","BON",2000-03-12,211.44,119.5,56.52,198.5,5.96,5.96,768.92,780.92,101.56,5.5,74.39
"73","BON",2000-03-13,210.58,117.69,55.89,212.1,6.02,6.02,764.08,781.46,102.28,5.5,73.83
"74","BON",2000-03-14,199.79,105.31,52.71,198.8,6.2,6.2,766.83,780.13,101.73,5.1,73.31
"75","BON",2000-03-15,198.77,106.8,53.73,206.9,6.28,6.28,765.63,779.58,101.82,3,74.25
"76","BON",2000-03-16,205.05,98.5,48.04,213,6.41,6.41,763.92,780,102.11,4.3,73.99
"77","BON",2000-03-17,213.86,0,0,214.2,6.28,6.28,770.67,778.08,100.96,4.3,75.01
"78","BON",2000-03-18,194.04,0,0,188.7,6.35,6.35,765.63,780.38,101.93,4,75.42
"79","BON",2000-03-19,174.88,0,0,172.9,6.42,6.42,765.17,778.33,101.72,4,74.5
"80","BON",2000-03-20,182.2,0,0,181.4,6.47,6.47,770.21,780.17,101.29,5,75.2
"81","BON",2000-03-21,173.61,0,0,172.9,6.69,6.69,768.08,783.88,102.06,4.5,74.53
"82","BON",2000-03-22,182.23,0,0,185.3,6.91,6.91,761.38,783.25,102.87,4.8,74.37
"83","BON",2000-03-23,187.04,0,0,189.4,7.01,7.01,767.5,782.13,101.91,4,74.66
"84","BON",2000-03-24,214.56,0,0,211.2,7.13,7.13,762.75,781.04,102.4,4.8,74.83
"85","BON",2000-03-25,183.61,0,0,184.3,7.14,7.14,764.96,779.58,101.91,4.8,75.23
"86","BON",2000-03-26,166.07,0,0,147.1,7.2,7.2,765.58,781.13,102.03,5,74.4
"87","BON",2000-03-27,172.32,0,0,175.5,7.33,7.33,761.75,783.04,102.8,5.4,73.21
"88","BON",2000-03-28,174.1,0,0,177.1,7.3,7.3,763.46,778.71,102,4.1,73.57
"89","BON",2000-03-29,198.42,0,0,214.8,7.4,7.4,768.63,779.83,101.46,5,74.42
"90","BON",2000-03-30,208.53,0,0,201.4,7.62,7.62,772.83,777.96,100.66,4.5,75
"91","BON",2000-03-31,209.01,0,0,210.1,7.83,7.83,773.75,778.5,100.61,6,74.77
"92","BON",2000-04-01,182.29,0,0,185,8.08,8.08,769.64,782.41,101.66,6,74.96
"93","BON",2000-04-02,176.25,0,0,180.9,8.39,8.39,767.65,783.39,102.05,4.8,75.27
"94","BON",2000-04-03,195.33,0,0,193.8,8.61,8.61,762.75,786.42,103.1,5,74.85
"95","BON",2000-04-04,189.92,0,0,191.4,8.84,8.84,764.63,787.5,102.99,4.3,74.9
"96","BON",2000-04-05,216.7,0,0,220.6,8.7,8.7,765.43,780.42,101.95,4.6,75.57
"97","BON",2000-04-06,243.18,17.08,7.02,244.4,8.76,8.76,765.13,777.29,101.59,4,75.83
"98","BON",2000-04-07,280.09,52.2,18.64,250.2,8.8,8.8,769.96,776.88,100.9,4.3,73.54
"99","BON",2000-04-08,272.74,48.52,17.79,279.7,9.02,9.02,764.17,780.42,102.13,4.5,73.25
"100","BON",2000-04-09,196.54,0,0,195.1,9.28,9.28,765.96,797.88,104.17,4,73.94
"101","BON",2000-04-10,214.13,16.28,7.6,219.7,9.52,9.52,765.63,781.96,102.13,4.5,74.17
"102","BON",2000-04-11,263.74,60.88,23.08,267.5,9.85,9.85,763.21,782.38,102.51,4,74.05
"103","BON",2000-04-12,254.57,25.68,10.09,267.5,10.09,10.09,762.17,787.67,103.35,4.4,74.23
"104","BON",2000-04-13,274.23,43.17,15.74,265.3,10.35,10.35,758.46,794.63,104.77,3.5,75.3
"105","BON",2000-04-14,314.28,73.51,23.39,314,10.21,10.21,756.92,797.17,105.32,4,74.63
"106","BON",2000-04-15,313.87,69.67,22.2,316.2,10.09,10.09,758.38,815.13,107.48,3.5,74.99
"107","BON",2000-04-16,263.9,64.39,24.4,267,10.29,10.29,758.21,822.67,108.5,3.5,74.74
"108","BON",2000-04-17,263.58,54.78,20.78,258,10.41,10.41,757.08,825.42,109.03,3.5,74.28
"109","BON",2000-04-18,297.38,74.82,25.16,308.5,10.71,10.71,759.46,848,111.66,3.5,74.4
"110","BON",2000-04-19,324.1,109.74,33.86,318.5,10.77,10.77,766.04,845.88,110.4,3,74.35
"111","BON",2000-04-20,329.77,106.67,32.35,330.5,10.96,10.96,766.17,864.08,112.78,3.2,75
"112","BON",2000-04-21,328.13,99.15,30.22,310.9,11.11,11.11,760.46,881.92,115.97,3.2,73.79
"113","BON",2000-04-22,320.8,142.06,44.28,339.7,11.19,11.19,762.58,869.54,114.03,3,74.25
"114","BON",2000-04-23,386.87,143.83,37.18,380.1,11.1,11.1,766.96,873.58,113.85,3.1,74.6
"115","BON",2000-04-24,366.14,130.67,35.69,367.1,10.92,10.92,767.83,884.67,115.22,2.4,74
"116","BON",2000-04-25,335.21,124.59,37.17,327.8,10.87,10.87,765,890.79,116.45,2.8,73.28
"117","BON",2000-04-26,328.65,100.82,30.68,346.7,10.96,10.96,766.33,875.04,114.19,2.7,75
"118","BON",2000-04-27,327.34,91.85,28.06,314.7,10.95,10.95,758.75,874.83,115.3,3,75.05
"119","BON",2000-04-28,290.25,90.75,31.27,290.3,10.92,10.92,766.67,865.17,112.85,2,73.85
"120","BON",2000-04-29,308.75,119.2,38.61,309,10.91,10.91,770.79,870.29,112.91,3.4,74.2
"121","BON",2000-04-30,279.23,118.5,42.44,269,10.94,10.94,766.96,887.13,115.67,3.8,73.71
"122","BON",2000-05-01,286.7,112.76,39.33,276.1,11.16,11.16,765.54,879.71,114.91,3.5,73.17
"123","BON",2000-05-02,301.61,104.24,34.56,318,11.33,11.33,763.13,874.58,114.61,3.5,73.45
"124","BON",2000-05-03,301.83,95.25,31.56,299.8,11.34,11.34,762.25,868.83,113.98,3.8,74.22
"125","BON",2000-05-04,304.34,95.07,31.24,310.4,11.45,11.45,764.5,869.25,113.7,3.3,74.05
"126","BON",2000-05-05,313.92,82.46,26.27,311.7,11.64,11.64,764,872.04,114.14,3.5,74.48
"127","BON",2000-05-06,304.98,80.86,26.51,295.5,11.82,11.82,764.42,876.54,114.67,2.8,73.81
"128","BON",2000-05-07,285.53,79.53,27.85,294.4,12.11,12.11,763.08,886.25,116.14,3.4,74.39
"129","BON",2000-05-08,277.07,88.13,31.81,270.8,12.24,12.24,762.04,887.75,116.5,3.2,74.25
"130","BON",2000-05-09,304.2,86.2,28.34,302.9,12.3,12.3,758.78,877.58,115.67,3.6,73.66
"131","BON",2000-05-10,261.7,84.91,32.45,272.4,12.12,12.12,758.83,860.38,113.38,3.5,73.94
"132","BON",2000-05-11,278.04,79.11,28.45,275.6,11.93,11.93,765.5,852.92,111.42,3,74.5
"133","BON",2000-05-12,289.69,81.6,28.17,290,11.97,11.97,768.75,858.92,111.73,2.8,74.67
"134","BON",2000-05-13,258.26,80.18,31.05,251.6,12.21,12.21,763.92,868.54,113.7,3.2,74.09
"135","BON",2000-05-14,264.78,91.32,34.49,266.7,12.37,12.37,759.83,859.63,113.13,3.5,74.28
"136","BON",2000-05-15,281.88,88.13,31.26,272.8,12.72,12.72,761.46,857.42,112.6,3.5,74.28
"137","BON",2000-05-16,263.75,87.28,33.09,259.4,12.85,12.85,762.96,832.92,109.17,3.7,73.28
"138","BON",2000-05-17,239.85,78.39,32.68,255.4,12.83,12.83,769.83,807.08,104.84,3.8,73.59
"139","BON",2000-05-18,263.84,79.49,30.13,261.4,12.81,12.81,770.04,813.54,105.65,3,73.96
"140","BON",2000-05-19,256.8,80.76,31.45,254.9,13.09,13.09,770.67,838.08,108.75,3,73.52
"141","BON",2000-05-20,242.75,95.41,39.3,247.1,13.42,13.42,768.96,847.79,110.25,3.5,74.5
"142","BON",2000-05-21,268.01,92.37,34.47,264,13.73,13.73,766.79,851.42,111.04,3.5,74.41
"143","BON",2000-05-22,254.72,87.89,34.5,251,14.07,14.07,766.71,844.71,110.17,3.7,73.98
"144","BON",2000-05-23,285.01,79.09,27.75,295,14.31,14.31,766.83,835.04,108.89,3.7,73.87
"145","BON",2000-05-24,288.74,80.31,27.81,291.7,14.71,14.71,763.58,848.63,111.14,4.2,74.42
"146","BON",2000-05-25,288.55,80.13,27.77,289.4,14.77,14.77,760.83,852.87,112.12,3.4,74.67
"147","BON",2000-05-26,248.56,88.11,35.45,230,14.72,14.72,759.25,854.08,112.49,3.1,74.26
"148","BON",2000-05-27,233.74,87.95,37.63,242,14.8,14.8,760.58,862.21,113.36,4,74.12
"149","BON",2000-05-28,241.91,89.13,36.85,243.1,14.94,14.94,765.5,847.92,110.77,3.4,74.16
"150","BON",2000-05-29,212.35,80.21,37.77,210.6,15,15,765.63,850.25,111.05,2.5,73.94
"151","BON",2000-05-30,234.89,81.11,34.53,234.3,14.99,14.99,765.71,836.54,109.25,3.9,74.18
"152","BON",2000-05-31,246.4,81.43,33.05,248.6,14.74,14.74,769.04,823.21,107.04,4,73.94
"153","BON",2000-06-01,283.37,81.12,28.63,281.4,14.7,14.7,763.92,840.88,110.08,4,74.63
"154","BON",2000-06-02,231.94,84.12,36.27,236.4,15.11,15.11,764.17,871.83,114.09,3.5,74.13
"155","BON",2000-06-03,194.49,84.78,43.59,194,15.21,15.21,766.33,873.33,113.96,2.2,73.88
"156","BON",2000-06-04,206.67,102.67,49.68,204.4,15.46,15.46,761.79,862.42,113.21,3.5,74.38
"157","BON",2000-06-05,214.81,93.88,43.7,224,15.63,15.63,763.17,852.58,111.72,4,74.52
"158","BON",2000-06-06,257.54,88.3,34.29,258.3,15.55,15.55,764.33,842.63,110.24,3.3,74.6
"159","BON",2000-06-07,251.4,87.76,34.91,241,15.5,15.5,761.38,853.38,112.08,3.6,74.17
"160","BON",2000-06-08,225.15,86.61,38.47,233.3,15.41,15.41,759.92,855.17,112.54,3.3,73.66
"161","BON",2000-06-09,217.48,90.83,41.76,224.4,15.47,15.47,761.67,839.33,110.2,3.8,74.78
"162","BON",2000-06-10,198.22,79.51,40.11,181.4,15.44,15.44,764.88,836.88,109.41,3.7,73.53
"163","BON",2000-06-11,189.41,80.53,42.52,194.5,15.4,15.4,764.17,841.67,110.14,4,74.39
"164","BON",2000-06-12,198.76,83.07,41.79,196.1,15.44,15.44,762.46,839.71,110.14,4.2,74.29
"165","BON",2000-06-13,222.8,82.62,37.08,237.9,15.63,15.63,771.29,835.79,108.36,3.5,74.08
"166","BON",2000-06-14,254.4,82.92,32.6,233.3,16.13,16.13,770.13,847.04,109.99,3.9,73.63
"167","BON",2000-06-15,230.01,82.29,35.78,244.7,16.4,16.4,771.33,843.58,109.37,3,74.55
"168","BON",2000-06-16,261.69,101.95,38.96,257.4,16.4,16.4,767.71,839.71,109.38,3.5,74.28
"169","BON",2000-06-17,197.21,108.67,55.1,195,16.53,16.53,762.79,869.13,113.94,3.8,74.08
"170","BON",2000-06-18,188.97,105.72,55.95,192.2,16.67,16.67,762.5,868.04,113.84,3.8,74.3
"171","BON",2000-06-19,188.64,102.28,54.22,191.1,16.54,16.54,768.25,825.67,107.48,4,74.34
"172","BON",2000-06-20,210.56,101.84,48.37,218.9,16.54,16.54,767.5,817.17,106.47,4,73.86
"173","BON",2000-06-21,223.84,100.55,44.92,213.9,16.72,16.72,765.13,830.5,108.54,4.5,74.35
"174","BON",2000-06-22,214.12,80.29,37.5,217.5,16.94,16.94,765.04,827.88,108.21,4.5,73.87
"175","BON",2000-06-23,212.58,81.28,38.24,213.8,17.01,17.01,765.96,817.29,106.7,4.5,74.4
"176","BON",2000-06-24,192.36,84.31,43.83,188.4,17.16,17.16,768.17,816.38,106.28,4.4,74.58
"177","BON",2000-06-25,207.58,86.77,41.8,214.1,17.58,17.58,768.5,829.04,107.88,4.4,74.51
"178","BON",2000-06-26,195.37,86.67,44.36,183.2,18.04,18.04,765.5,855.83,111.8,5,73.78
"179","BON",2000-06-27,176.23,88.34,50.13,188.9,18.48,18.48,764.33,874.54,114.42,4.8,73.46
"180","BON",2000-06-28,213.4,120.71,56.57,207.1,18.97,18.97,764.13,878.13,114.92,5.8,73.89
"181","BON",2000-06-29,227.01,112.21,49.43,215.9,19.24,19.24,763.54,858.21,112.4,5.2,73.8
"182","BON",2000-06-30,207.99,108.55,52.19,210.9,19.1,19.1,763.63,831.38,108.87,NA,73.94
"183","BON",2000-07-01,163.14,83.34,51.09,172.4,18.78,18.78,764.67,811.04,106.06,3.5,74.3
"184","BON",2000-07-02,156.5,84.24,53.82,149.1,18.58,18.58,766.5,802.17,104.65,3.5,74.98
"185","BON",2000-07-03,143.9,85.18,59.2,134.9,18.29,18.29,765.75,797.25,104.11,4,74.74
"186","BON",2000-07-04,160.1,112.4,70.2,163.1,18.2,18.2,765.48,799.63,104.49,4.4,74.13
"187","BON",2000-07-05,152.65,110.41,72.33,159.3,18.29,18.29,763.17,813.54,106.6,6.2,74.48
"188","BON",2000-07-06,182.47,104.36,57.19,179.7,18.51,18.51,763.88,820.25,107.38,6.8,75.61
"189","BON",2000-07-07,233.14,80.36,34.47,237.2,18.84,18.84,761.67,829.21,108.87,5,74.35
"190","BON",2000-07-08,198.37,80.58,40.62,188.2,18.98,18.98,762.04,834.13,109.46,5.1,74.07
"191","BON",2000-07-09,181.06,81.06,44.77,189.5,18.88,18.88,763.21,815.67,106.87,5.1,74.24
"192","BON",2000-07-10,183.79,109.01,59.31,181.1,18.93,18.93,762.75,810.88,106.31,5,74.41
"193","BON",2000-07-11,186.86,108.9,58.28,189.2,18.87,18.87,762.83,811,106.31,5,74.28
"194","BON",2000-07-12,182.1,108.41,59.53,182.5,18.94,18.94,761.63,813.25,106.78,5,73.69
"195","BON",2000-07-13,183.03,108.88,59.49,181,19.24,19.24,764.13,808.38,105.79,5.5,74.24
"196","BON",2000-07-14,200.47,110.73,55.24,198.6,19.34,19.34,766.54,809.79,105.64,5.2,73.88
"197","BON",2000-07-15,182.05,112.39,61.74,185.6,19.33,19.33,764.83,813.38,106.35,5,74.14
"198","BON",2000-07-16,156.76,84.93,54.18,154.6,19.33,19.33,760.04,820.71,107.98,5,74.78
"199","BON",2000-07-17,163.44,83.88,51.32,156.1,19.55,19.55,761.04,842.33,110.68,6,73.6
"200","BON",2000-07-18,174.31,83.02,47.63,185.4,19.62,19.62,766.46,828,108.03,5.5,74.07
"201","BON",2000-07-19,180.71,81.78,45.25,181.9,19.68,19.68,765.54,808.92,105.67,4.7,74.18
"202","BON",2000-07-20,178.36,82.25,46.11,177,19.85,19.85,762.54,809.63,106.18,NA,74.75
"203","BON",2000-07-21,192.8,82.79,42.94,189.4,20.04,20.04,759.55,816.5,107.5,NA,74.4
"204","BON",2000-07-22,160.93,101.74,63.22,157.1,21.1,NA,NA,NA,NA,5.2,74.16
"205","BON",2000-07-23,148.73,98.83,66.45,155.1,21.11,21.11,NA,NA,NA,5.2,74.52
"206","BON",2000-07-24,171.61,91.86,53.53,171.8,20,20,NA,NA,NA,5.5,74.46
"207","BON",2000-07-25,170.18,81.46,47.87,171,20,20,733.92,NA,NA,5.2,74.5
"208","BON",2000-07-26,168.56,81.43,48.31,167.3,20.49,20.49,757.08,809.45,106.42,5.4,74.58
"209","BON",2000-07-27,177.9,81.33,45.72,172.8,20.55,20.55,761.83,806.65,105.88,5.4,74.08
"210","BON",2000-07-28,163.66,98.48,60.17,172,20.68,20.68,762.58,813.67,106.7,6,73.93
"211","BON",2000-07-29,183.18,98.6,53.82,171.3,20.98,20.98,761.96,823.92,108.13,5.3,74.24
"212","BON",2000-07-30,143.5,91.37,63.67,145.3,21.32,21.32,760.33,825.5,108.57,5.3,74.12
"213","BON",2000-07-31,165.11,94.98,57.53,173.7,21.57,21.57,762.65,817.54,107.15,NA,73.68
"214","BON",2000-08-01,173.47,95,54.77,173.4,21.55,21.55,764.38,798.96,104.52,NA,74.31
"215","BON",2000-08-02,178.61,96.02,53.76,178.4,21.44,21.44,762.25,794.13,104.18,6.5,74.67
"216","BON",2000-08-03,191.08,81.89,42.86,190.3,21.32,21.32,758.04,795.17,104.9,6.5,74.98
"217","BON",2000-08-04,179.32,84.27,47,166.3,21.43,21.43,759.33,801.92,105.61,6.3,74.03
"218","BON",2000-08-05,153,83.89,54.83,150.3,21.71,21.71,761.63,803.54,105.5,6,73.23
"219","BON",2000-08-06,129.31,87.52,67.68,139.2,21.9,21.9,759.96,803.21,105.69,6.5,73.9
"220","BON",2000-08-07,163.85,111.85,68.26,163,21.91,21.91,759.33,791.46,104.23,6,74.42
"221","BON",2000-08-08,175.83,119.07,67.72,175.2,21.83,21.83,759.33,790.17,104.06,4,73.81
"222","BON",2000-08-09,171.25,88.71,51.8,164.2,21.84,21.84,759.58,795.67,104.75,7,73.75
"223","BON",2000-08-10,165.63,88.61,53.5,180.2,21.69,21.69,761.58,788.63,103.55,6,73.89
"224","BON",2000-08-11,166.05,89.95,54.17,166.9,21.44,21.44,765.25,782.13,102.21,6,74.63
"225","BON",2000-08-12,173.38,132.81,76.6,167.3,21.22,21.22,764.04,785.54,102.81,5,74.37
"226","BON",2000-08-13,148.82,108.81,73.12,148.3,21.07,21.07,763.54,791.21,103.62,6.4,74.08
"227","BON",2000-08-14,161.56,112.45,69.6,159.3,20.82,20.82,764.83,785.46,102.7,5.5,74.31
"228","BON",2000-08-15,161.26,91.81,56.93,170,20.68,20.68,768.63,781.54,101.68,6,73.82
"229","BON",2000-08-16,173.76,97.51,56.12,166.5,20.61,20.61,767.75,788.38,102.69,6,74.3
"230","BON",2000-08-17,176.05,101.14,57.45,178.9,20.55,20.55,765.29,792.54,103.56,NA,73.78
"231","BON",2000-08-18,162.46,96.29,59.27,145.1,20.4,20.4,764.08,795.5,104.11,NA,73.53
"232","BON",2000-08-19,144.27,84.39,58.49,159.8,20.32,20.32,766.29,798.5,104.2,6.2,73.38
"233","BON",2000-08-20,123.11,84.59,68.71,123.2,20.19,20.19,767.92,804.17,104.72,6.2,75.19
"234","BON",2000-08-21,127.28,80.05,62.9,116.5,20.29,20.29,765.17,805,105.21,7.5,73.8
"235","BON",2000-08-22,117.95,69.12,58.6,123.1,20.31,20.31,760.83,808.29,106.24,4.7,73.87
"236","BON",2000-08-23,140.79,100.13,71.12,145.4,20.58,20.58,760.88,828.5,108.89,7,74.14
"237","BON",2000-08-24,104.93,64.8,61.75,98.9,20.64,20.64,765.25,824.75,107.78,6,74.18
"238","BON",2000-08-25,100.52,60.69,60.38,106.5,20.61,20.61,765.04,795.04,103.92,5.5,74.38
"239","BON",2000-08-26,114.65,74.49,64.97,111.4,20.49,20.49,763.75,777.67,101.82,6.2,74.86
"240","BON",2000-08-27,102.66,62.96,61.33,109.8,20.25,20.25,763.29,773.92,101.39,6.5,74.95
"241","BON",2000-08-28,112.73,67.07,59.5,100.8,20.12,20.12,762.92,773.79,101.43,6.5,74.84
"242","BON",2000-08-29,125.85,72.5,57.6,125,19.98,19.98,761.63,779.96,102.41,7,74.24
"243","BON",2000-08-30,148.48,86.39,58.18,154,20.05,20.05,761.08,796.96,104.72,6,73.89
"244","BON",2000-08-31,137.86,81,58.76,135.7,20.08,20.08,759.42,802.92,105.73,6,74.1
"245","BON",2000-09-01,100.15,3.08,3.08,105.2,19.96,19.96,758.79,796.42,104.96,7,74.23
"246","BON",2000-09-02,133.7,0,0,134.5,19.81,19.81,761.46,794.25,104.31,6.5,74.36
"247","BON",2000-09-03,105.87,0,0,107.5,19.72,19.72,764.08,796.71,104.27,NA,74.61
"248","BON",2000-09-04,99.18,0,0,100.4,19.65,19.65,766.58,781.58,101.96,7,74.6
"249","BON",2000-09-05,99.79,0,0,109.3,19.43,19.43,768.5,765.04,99.55,7,75.55
"250","BON",2000-09-06,111.2,0,0,109.8,19.24,19.24,769.5,758.5,98.57,7,75.88
"251","BON",2000-09-07,139.67,0,0,137.7,19.31,19.31,763.17,753.71,98.76,7,75.58
"252","BON",2000-09-08,119.64,0,0,120.8,19.36,19.36,757.83,751.13,99.12,6.8,75.64
"253","BON",2000-09-09,94.47,0,0,93.6,19.17,19.17,762.13,746.75,97.98,5.8,75.68
"254","BON",2000-09-10,91.3,0,0,87.4,19.03,19.03,760.79,745.63,98.01,7,75.32
"255","BON",2000-09-11,114.18,0,0,107.6,19.09,19.09,763.54,746.29,97.74,6.4,74.76
"256","BON",2000-09-12,127.54,0,0,142.1,19.42,19.42,762.08,750.38,98.46,7,75.43
